"""table_name"",""column_name"""
"item,""matchbilltoreceipt"""
"item,""nextagproductfeed"""
"item,""printitems"""
"item,""seasonaldemand"""
"item,""shipindividually"""
"item,""shoppingproductfeed"""
"item,""shopzillaproductfeed"""
"item,""subsidiary"""
"item,""subtype"""
"item,""usemarginalrates"""
"item,""yahooproductfeed"""
"item,""costestimatetype"""
"item,""custitem_cmms_contract_sale"""
"item,""custitem_cmms_contract_sale_from_so"""
"item,""custitem_cmms_create_equipt_on_fulfil"""
"item,""custitem_cmms_enabled"""
"item,""custitem_cmms_is_rental_part"""
"item,""custitem_cmms_set_phantom_mm"""
"item,""custitem_shep_rental_indicator"""
"item,""custitem_wms_usetallyscan"""
"item,""description"""
"item,""dontshowprice"""
"item,""excludefromsitemap"""
"item,""incomeaccount"""
"item,""isdonationitem"""
"item,""showdefaultdonationamount"""
"item,""stockdescription"""
"item,""upccode"""
"item,""custitem_bit_lt_refoundaccount"""
"item,""displayname"""
"item,""consumptionunit"""
"item,""cost"""
"item,""custitem_cmms_add_as_addit_item"""
"item,""custitem_cmms_rntl_tm_grouping"""
"item,""department"""
"item,""fxcost"""
"item,""location"""
"item,""purchasedescription"""
"item,""purchaseunit"""
"item,""unitstype"""
"item,""custitem_cmms_is_lost_rental_charge"""
"item,""custitem_cmms_allow_rental_access_dnr"""
"item,""custitem_cmms_assign_comp_addit_eq_cso"""
"item,""custitem_cmms_assign_rent_end_on_creat"""
"item,""custitem_cmms_assign_rent_end_on_start"""
"item,""custitem_cmms_assign_rent_start_comp"""
"item,""custitem_cmms_assign_rent_strt_oncreat"""
"item,""custitem_cmms_auto_assign_cso_to_if"""
"item,""custitem_cmms_con_trip_new_trip_nxt_dy"""
"item,""custitem_cmms_enable_manual_ptm"""
"item,""custitem_cmms_inherit_sz_from_rc"""
"item,""custitem_cmms_non_billable_service"""
"item,""custitem_cmms_optional_equip_assign"""
"item,""custitem_cmms_remove_travel_option"""
"item,""custitem_cmms_requires_contract"""
"item,""custitem_cmms_roll_travel_into_labor"""
"item,""custitem_cmms_service_signature_reqd"""
"item,""custitem_cmms_stop_manuf_warranty_swap"""
"item,""custitem_cmms_tech_signature_reqd"""
"item,""custitem_ar_posicion_arancelaria"""
"item,""saleunit"""
"item,""weightunits"""
"item,""custitem_4601_defaultwitaxcode"""
"item,""custitem_ar_comprado"""
"item,""custitem_bit_co_tipo_actividadimpuesto"""
"item,""custitem_bit_lt_ei_item_code"""
"item,""class"""
"item,""assetaccount"""
"item,""atpmethod"""
"item,""buildentireassembly"""
"item,""costingmethod"""
"item,""costingmethoddisplay"""
"item,""cseg_ar_tipo_desarr"""
"item,""custitem_ar_ancho"""
"item,""custitem_ar_aplica_trim"""
"item,""custitem_ar_calibre_micras"""
"item,""custitem_ar_categoria_ventas"""
"item,""custitem_ar_descripcion_comex"""
"item,""custitem_ar_disponible_portal_web"""
"item,""custitem_ar_estado_ingenieria"""
"item,""custitem_ar_gramos"""
"item,""custitem_ar_id_anterior"""
"item,""custitem_ar_largo_rollos"""
"item,""custitem_ar_peso_bruto_articulo"""
